2020-12-18 22:24:12,935 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=./baselines/cardinality_estimation/results/deepDB-ranges/imdb_ranges_3_model_based_budget_5.csv)
2020-12-18 22:24:13,538 [DEBUG]  Including SPN with table_set {'movie_info', 'title', 'movie_companies'} with sampling ratio(1000000 / 67371414)
2020-12-18 22:24:13,539 [DEBUG]  Including SPN with table_set {'movie_keyword', 'movie_info_idx', 'title'} with sampling ratio(1000000 / 10424626)
2020-12-18 22:24:13,539 [DEBUG]  Including SPN with table_set {'movie_info', 'title', 'movie_keyword'} with sampling ratio(1000000 / 235420417)
2020-12-18 22:24:13,539 [DEBUG]  Including SPN with table_set {'movie_keyword', 'title'} with sampling ratio(6575448 / 4523930)
2020-12-18 22:24:13,539 [DEBUG]  Including SPN with table_set {'title', 'movie_companies'} with sampling ratio(4050205 / 2609129)
2020-12-18 22:24:13,539 [DEBUG]  Including SPN with table_set {'movie_info', 'title'} with sampling ratio(10000000 / 14835720)
2020-12-18 22:24:13,539 [DEBUG]  Including SPN with table_set {'cast_info'} with sampling ratio(10000000 / 36244344)
2020-12-18 22:24:13,539 [DEBUG]  Including SPN with table_set {'movie_info_idx'} with sampling ratio(1380035 / 1380035)
2020-12-18 22:24:13,540 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=2 AND t.series_years>=1341 AND t.production_year<=2004.0;
2020-12-18 22:24:13,576 [DEBUG]  		Latency: 29.61ms
2020-12-18 22:24:13,576 [DEBUG]  		True: 11637
2020-12-18 22:24:13,576 [DEBUG]  		Predicted: 2914.5213709977706
2020-12-18 22:24:13,576 [DEBUG]  Q-Error was: 3.9927653699159995
2020-12-18 22:24:13,576 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code=16774 AND mc.company_type_id=1 AND mi_idx.info_type_id=101 AND t.kind_id=1;
2020-12-18 22:24:13,609 [DEBUG]  		Latency: 27.63ms
2020-12-18 22:24:13,609 [DEBUG]  		True: 383
2020-12-18 22:24:13,609 [DEBUG]  		Predicted: 62.83379552863392
2020-12-18 22:24:13,609 [DEBUG]  Q-Error was: 6.095445878730396
2020-12-18 22:24:13,609 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=4 AND t.phonetic_code<=16925 AND mc.company_type_id=1 AND t.production_year>=1987.0;
2020-12-18 22:24:13,644 [DEBUG]  		Latency: 29.49ms
2020-12-18 22:24:13,644 [DEBUG]  		True: 79017
2020-12-18 22:24:13,644 [DEBUG]  		Predicted: 37403.600305894615
2020-12-18 22:24:13,644 [DEBUG]  Q-Error was: 2.1125506462956007
2020-12-18 22:24:13,644 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year<=2012.0 AND t.season_nr=2.0 AND t.episode_nr>=8.0 AND t.phonetic_code>=12168 AND mi_idx.info_type_id=101 AND mc.company_type_id=1;
2020-12-18 22:24:13,685 [DEBUG]  		Latency: 35.08ms
2020-12-18 22:24:13,686 [DEBUG]  		True: 6167
2020-12-18 22:24:13,686 [DEBUG]  		Predicted: 2915.6581778685586
2020-12-18 22:24:13,686 [DEBUG]  Q-Error was: 2.1151313438629074
2020-12-18 22:24:13,686 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year>=1983.0 AND t.episode_nr<=22.0 AND t.season_nr>=7.0;
2020-12-18 22:24:13,719 [DEBUG]  		Latency: 28.05ms
2020-12-18 22:24:13,719 [DEBUG]  		True: 91761
2020-12-18 22:24:13,719 [DEBUG]  		Predicted: 39130.05623727103
2020-12-18 22:24:13,719 [DEBUG]  Q-Error was: 2.345026018965914
