2020-12-18 22:27:14,008 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=./baselines/cardinality_estimation/results/deepDB-ranges/imdb_ranges_5_model_based_budget_5.csv)
2020-12-18 22:27:14,609 [DEBUG]  Including SPN with table_set {'movie_info', 'movie_companies', 'title'} with sampling ratio(1000000 / 67371414)
2020-12-18 22:27:14,610 [DEBUG]  Including SPN with table_set {'movie_info_idx', 'movie_keyword', 'title'} with sampling ratio(1000000 / 10424626)
2020-12-18 22:27:14,610 [DEBUG]  Including SPN with table_set {'movie_info', 'movie_keyword', 'title'} with sampling ratio(1000000 / 235420417)
2020-12-18 22:27:14,610 [DEBUG]  Including SPN with table_set {'movie_keyword', 'title'} with sampling ratio(6575448 / 4523930)
2020-12-18 22:27:14,610 [DEBUG]  Including SPN with table_set {'movie_companies', 'title'} with sampling ratio(4050205 / 2609129)
2020-12-18 22:27:14,610 [DEBUG]  Including SPN with table_set {'movie_info', 'title'} with sampling ratio(10000000 / 14835720)
2020-12-18 22:27:14,610 [DEBUG]  Including SPN with table_set {'cast_info'} with sampling ratio(10000000 / 36244344)
2020-12-18 22:27:14,610 [DEBUG]  Including SPN with table_set {'movie_info_idx'} with sampling ratio(1380035 / 1380035)
2020-12-18 22:27:14,611 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year<=1948.0 AND t.kind_id=1 AND mk.keyword_id=14638 AND mc.company_type_id=1;
2020-12-18 22:27:14,644 [DEBUG]  		Latency: 25.04ms
2020-12-18 22:27:14,644 [DEBUG]  		True: 136277.0
2020-12-18 22:27:14,644 [DEBUG]  		Predicted: 96.14295898851296
2020-12-18 22:27:14,644 [DEBUG]  Q-Error was: 1417.441291944033
2020-12-18 22:27:14,644 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year<=1991.0 AND mc.company_type_id=1 AND t.phonetic_code<=13291;
2020-12-18 22:27:14,668 [DEBUG]  		Latency: 18.01ms
2020-12-18 22:27:14,668 [DEBUG]  		True: 2422716476.0
2020-12-18 22:27:14,668 [DEBUG]  		Predicted: 25887429.541023284
2020-12-18 22:27:14,669 [DEBUG]  Q-Error was: 93.58659855204127
2020-12-18 22:27:14,669 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code>=4805 AND t.production_year=1997.0 AND t.kind_id=1 AND mi_idx.info_type_id=101 AND mi.info_type_id=13;
2020-12-18 22:27:14,703 [DEBUG]  		Latency: 27.70ms
2020-12-18 22:27:14,703 [DEBUG]  		True: 6090598.0
2020-12-18 22:27:14,703 [DEBUG]  		Predicted: 56315.239279499045
2020-12-18 22:27:14,703 [DEBUG]  Q-Error was: 108.15186222989585
2020-12-18 22:27:14,703 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=16 AND mi_idx.info_type_id=99 AND t.phonetic_code=5456 AND mk.keyword_id=6306 AND t.kind_id=1 AND mc.company_type_id=1;
2020-12-18 22:27:14,740 [DEBUG]  		Latency: 29.14ms
2020-12-18 22:27:14,740 [DEBUG]  		True: 182.0
2020-12-18 22:27:14,740 [DEBUG]  		Predicted: 2.5390070000000007
2020-12-18 22:27:14,740 [DEBUG]  Q-Error was: 71.68156684877196
2020-12-18 22:27:14,740 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year=2007.0 AND mc.company_type_id=1 AND mi.info_type_id=16;
2020-12-18 22:27:14,766 [DEBUG]  		Latency: 19.24ms
2020-12-18 22:27:14,766 [DEBUG]  		True: 115449479.0
2020-12-18 22:27:14,766 [DEBUG]  		Predicted: 814581.884078009
2020-12-18 22:27:14,766 [DEBUG]  Q-Error was: 141.72851281939865
2020-12-18 22:27:14,767 [DEBUG]  Predicting cardinality for query 5: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=101 AND mk.keyword_id=13037 AND mi.info_type_id=106;
2020-12-18 22:27:14,787 [DEBUG]  		Latency: 13.77ms
2020-12-18 22:27:14,787 [DEBUG]  		True: 112377.0
2020-12-18 22:27:14,787 [DEBUG]  		Predicted: 977.5493507724038
2020-12-18 22:27:14,787 [DEBUG]  Q-Error was: 114.95787901777653
2020-12-18 22:27:14,787 [DEBUG]  Predicting cardinality for query 6: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.kind_id=1 AND mi.info_type_id=107 AND t.phonetic_code>=15808 AND t.production_year<=2006.0 AND mk.keyword_id=8235;
2020-12-18 22:27:14,837 [DEBUG]  		Latency: 43.36ms
2020-12-18 22:27:14,837 [DEBUG]  		True: 324.0
2020-12-18 22:27:14,837 [DEBUG]  		Predicted: 7124.65553687632
2020-12-18 22:27:14,838 [DEBUG]  Q-Error was: 21.989677582951604
2020-12-18 22:27:14,838 [DEBUG]  Predicting cardinality for query 7: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.kind_id=1 AND mi.info_type_id=46 AND t.phonetic_code<=5575;
2020-12-18 22:27:14,863 [DEBUG]  		Latency: 18.42ms
2020-12-18 22:27:14,863 [DEBUG]  		True: 12919414.0
2020-12-18 22:27:14,863 [DEBUG]  		Predicted: 105166.51672001235
2020-12-18 22:27:14,863 [DEBUG]  Q-Error was: 122.8472179448113
2020-12-18 22:27:14,863 [DEBUG]  Predicting cardinality for query 8: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.kind_id=1 AND mi_idx.info_type_id=99 AND t.production_year<=2008.0 AND t.phonetic_code<=15927 AND mc.company_type_id=1;
2020-12-18 22:27:14,897 [DEBUG]  		Latency: 27.58ms
2020-12-18 22:27:14,897 [DEBUG]  		True: 2464368142.0
2020-12-18 22:27:14,898 [DEBUG]  		Predicted: 22183451.760349706
2020-12-18 22:27:14,898 [DEBUG]  Q-Error was: 111.09038253482113
2020-12-18 22:27:14,898 [DEBUG]  Predicting cardinality for query 9: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, movie_keyword mk, title t WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=101 AND mi.info_type_id=15 AND mc.company_type_id=1 AND t.phonetic_code<=3634;
2020-12-18 22:27:14,922 [DEBUG]  		Latency: 17.30ms
2020-12-18 22:27:14,922 [DEBUG]  		True: 136139256.0
2020-12-18 22:27:14,922 [DEBUG]  		Predicted: 1113568.5279762105
2020-12-18 22:27:14,922 [DEBUG]  Q-Error was: 122.25494217892299
