2020-12-18 22:25:51,926 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=./baselines/cardinality_estimation/results/deepDB-ranges/imdb_ranges_4_model_based_budget_5.csv)
2020-12-18 22:25:52,529 [DEBUG]  Including SPN with table_set {'movie_companies', 'title', 'movie_info'} with sampling ratio(1000000 / 67371414)
2020-12-18 22:25:52,530 [DEBUG]  Including SPN with table_set {'title', 'movie_keyword', 'movie_info_idx'} with sampling ratio(1000000 / 10424626)
2020-12-18 22:25:52,530 [DEBUG]  Including SPN with table_set {'title', 'movie_keyword', 'movie_info'} with sampling ratio(1000000 / 235420417)
2020-12-18 22:25:52,530 [DEBUG]  Including SPN with table_set {'title', 'movie_keyword'} with sampling ratio(6575448 / 4523930)
2020-12-18 22:25:52,530 [DEBUG]  Including SPN with table_set {'movie_companies', 'title'} with sampling ratio(4050205 / 2609129)
2020-12-18 22:25:52,530 [DEBUG]  Including SPN with table_set {'title', 'movie_info'} with sampling ratio(10000000 / 14835720)
2020-12-18 22:25:52,530 [DEBUG]  Including SPN with table_set {'cast_info'} with sampling ratio(10000000 / 36244344)
2020-12-18 22:25:52,530 [DEBUG]  Including SPN with table_set {'movie_info_idx'} with sampling ratio(1380035 / 1380035)
2020-12-18 22:25:52,530 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi_idx.info_type_id=101 AND t.phonetic_code<=9762 AND t.season_nr=4.0 AND t.episode_nr>=6.0 AND mi.info_type_id=6 AND mc.company_type_id=1;
2020-12-18 22:25:52,564 [DEBUG]  		Latency: 26.21ms
2020-12-18 22:25:52,565 [DEBUG]  		True: 3245
2020-12-18 22:25:52,565 [DEBUG]  		Predicted: 2220.0121401096035
2020-12-18 22:25:52,565 [DEBUG]  Q-Error was: 1.461703718358852
2020-12-18 22:25:52,565 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=2 AND t.kind_id=7 AND t.phonetic_code=6242;
2020-12-18 22:25:52,595 [DEBUG]  		Latency: 24.03ms
2020-12-18 22:25:52,595 [DEBUG]  		True: 945
2020-12-18 22:25:52,595 [DEBUG]  		Predicted: 2.5390070000000007
2020-12-18 22:25:52,595 [DEBUG]  Q-Error was: 372.1927509455467
2020-12-18 22:25:52,595 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=63 AND t.production_year=1972.0 AND t.phonetic_code=5904 AND t.kind_id=1 AND mi_idx.info_type_id=101;
2020-12-18 22:25:52,634 [DEBUG]  		Latency: 33.07ms
2020-12-18 22:25:52,634 [DEBUG]  		True: 264
2020-12-18 22:25:52,634 [DEBUG]  		Predicted: 2.5390070000000007
2020-12-18 22:25:52,634 [DEBUG]  Q-Error was: 103.97765740700987
2020-12-18 22:25:52,634 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.kind_id=1 AND t.production_year<=1998.0 AND mi_idx.info_type_id=100 AND mc.company_type_id=1;
2020-12-18 22:25:52,668 [DEBUG]  		Latency: 27.68ms
2020-12-18 22:25:52,668 [DEBUG]  		True: 18875160
2020-12-18 22:25:52,668 [DEBUG]  		Predicted: 15515019.404172247
2020-12-18 22:25:52,668 [DEBUG]  Q-Error was: 1.216573405955532
2020-12-18 22:25:52,668 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mc.company_type_id=1 AND t.kind_id=1 AND t.production_year>=2008.0 AND mi_idx.info_type_id=101;
2020-12-18 22:25:52,701 [DEBUG]  		Latency: 26.83ms
2020-12-18 22:25:52,701 [DEBUG]  		True: 7316806
2020-12-18 22:25:52,701 [DEBUG]  		Predicted: 6176745.83205111
2020-12-18 22:25:52,701 [DEBUG]  Q-Error was: 1.1845729448722209
2020-12-18 22:25:52,701 [DEBUG]  Predicting cardinality for query 5: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year=2000.0 AND t.kind_id=1 AND mc.company_type_id=1 AND t.phonetic_code<=2338 AND mi.info_type_id=13 AND mi_idx.info_type_id=101;
2020-12-18 22:25:52,737 [DEBUG]  		Latency: 29.46ms
2020-12-18 22:25:52,737 [DEBUG]  		True: 12548
2020-12-18 22:25:52,737 [DEBUG]  		Predicted: 13699.302420169457
2020-12-18 22:25:52,738 [DEBUG]  Q-Error was: 1.0917518664464023
2020-12-18 22:25:52,738 [DEBUG]  Predicting cardinality for query 6: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.phonetic_code<=11766 AND mc.company_type_id=1 AND t.kind_id=1 AND mi_idx.info_type_id=100;
2020-12-18 22:25:52,767 [DEBUG]  		Latency: 23.87ms
2020-12-18 22:25:52,768 [DEBUG]  		True: 22447677
2020-12-18 22:25:52,768 [DEBUG]  		Predicted: 20376216.456082042
2020-12-18 22:25:52,768 [DEBUG]  Q-Error was: 1.1016607056752998
2020-12-18 22:25:52,768 [DEBUG]  Predicting cardinality for query 7: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND t.production_year>=2009.0 AND mi_idx.info_type_id=100 AND t.kind_id=1;
2020-12-18 22:25:52,798 [DEBUG]  		Latency: 24.17ms
2020-12-18 22:25:52,798 [DEBUG]  		True: 7513305
2020-12-18 22:25:52,798 [DEBUG]  		Predicted: 87999.23187703553
2020-12-18 22:25:52,798 [DEBUG]  Q-Error was: 85.37921115605428
2020-12-18 22:25:52,798 [DEBUG]  Predicting cardinality for query 8: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=16 AND t.production_year=2010.0 AND mc.company_type_id=1 AND mi_idx.info_type_id=100 AND t.phonetic_code=11288 AND t.kind_id=1;
2020-12-18 22:25:52,837 [DEBUG]  		Latency: 32.62ms
2020-12-18 22:25:52,837 [DEBUG]  		True: 1495
2020-12-18 22:25:52,837 [DEBUG]  		Predicted: 2.5390070000000007
2020-12-18 22:25:52,837 [DEBUG]  Q-Error was: 588.812870543484
2020-12-18 22:25:52,837 [DEBUG]  Predicting cardinality for query 9: SELECT COUNT(*) FROM movie_companies mc, movie_info mi, movie_info_idx mi_idx, title t WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mc.movie_id AND mi.info_type_id=15 AND t.season_nr=1.0 AND t.kind_id=7;
2020-12-18 22:25:52,865 [DEBUG]  		Latency: 22.57ms
2020-12-18 22:25:52,866 [DEBUG]  		True: 763746
2020-12-18 22:25:52,866 [DEBUG]  		Predicted: 601257.0758937721
2020-12-18 22:25:52,866 [DEBUG]  Q-Error was: 1.2702486683665006
